GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000041982	0	0	0	0	0	0
ENSG00000041988	4	274	0	868	30	274
ENSG00000042062	2	115	1	430	20	115
ENSG00000042088	1127	2055	0	3129	3882	2055
ENSG00000042286	3	1	8	99	0	1
ENSG00000042304	0	0	0	0	0	0
ENSG00000042317	0	1	0	0	7	1
ENSG00000042429	447	327	0	78	90	327
ENSG00000042445	362	408	0	112	2	408
ENSG00000042493	0	1005	2	412	944	1005
ENSG00000042753	932	1014	7	1248	789	1014
ENSG00000042781	0	0	0	0	0	0
ENSG00000042813	0	0	0	0	0	0
ENSG00000042832	8	32	0	2	0	32
ENSG00000042980	0	0	0	201	0	0
ENSG00000043039	0	0	0	0	0	0
ENSG00000043093	337	1050	1	699	77	1050
ENSG00000043143	1250	1186	13	2697	3873	1186
ENSG00000043355	1	0	2	0	1	0
ENSG00000043462	4438	3951	85	5298	18173	3951
ENSG00000043514	272	187	0	352	1	187
ENSG00000043591	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	0	0
ENSG00000044090	243	303	1174	191	1766	303
ENSG00000044115	27	1191	16531	0	1695	1191
ENSG00000044446	122	8	12	339	4	8
ENSG00000044459	0	0	0	3	0	0
ENSG00000044524	0	0	0	0	0	0
ENSG00000044574	18455	10368	20	11787	3510	10368
